Header_line;24
location;Drammen - Norway
year_of_construction;1986
floor_area;3327
number_of_users;49
number_of_units;5
building_category;Nsh
energy_label;C
notes;Renovated/expanded in 2009
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EH
ventilation_heat_source;EHB
ventilation_types;DCV
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6410

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Electricity use;Heat use
;C;W/m2;m/s;deg;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Electricity for DHW production and heat tracing;Domestic Hot Water
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;ElDHW;HtDHW
2018-01-07T10:00:00+0100;-11.05;42.81;3.78;190.28;130000.0;;
2018-01-07T11:00:00+0100;-9.9;64.41;3.72;195.06;130000.0;;
2018-01-07T12:00:00+0100;-9.65;64.12;4.0;198.09;178000.0;;
2018-01-07T13:00:00+0100;-7.37;53.87;3.65;198.08;172000.0;;
2018-01-07T14:00:00+0100;-6.19;29.12;3.11;209.99;176000.0;;
2018-01-07T15:00:00+0100;-5.46;3.02;4.96;271.92;153000.0;;
2018-01-07T16:00:00+0100;-5.44;0.0;5.04;279.52;170000.0;;
2018-01-07T17:00:00+0100;-3.43;0.0;6.89;274.43;171000.0;;
2018-01-07T18:00:00+0100;-1.67;0.0;6.16;269.34;157000.0;;
2018-01-07T19:00:00+0100;-0.67;0.0;5.08;267.27;143000.0;;
2018-01-07T20:00:00+0100;-0.03;0.0;4.56;268.97;150000.0;;
2018-01-07T21:00:00+0100;-0.01;0.0;4.24;271.88;145000.0;;
2018-01-07T22:00:00+0100;-0.21;0.0;4.14;281.6;121000.0;;
2018-01-07T23:00:00+0100;-0.37;0.0;4.16;297.17;157000.0;;
2018-01-08T00:00:00+0100;-0.47;0.0;5.38;293.82;70000.0;;
2018-01-08T01:00:00+0100;-0.92;0.0;5.69;294.49;67000.0;;
2018-01-08T02:00:00+0100;-0.95;0.0;4.44;291.85;66000.0;;
2018-01-08T03:00:00+0100;-1.03;0.0;3.73;292.68;61000.0;;
2018-01-08T04:00:00+0100;-0.76;0.0;3.8;287.87;62000.0;;
2018-01-08T05:00:00+0100;-1.63;0.0;2.15;277.46;120000.0;;
2018-01-08T06:00:00+0100;-1.58;0.0;1.84;237.5;104000.0;;
2018-01-08T07:00:00+0100;-2.07;-0.0;2.25;247.33;147000.0;;
2018-01-08T08:00:00+0100;-1.71;0.0;2.79;258.98;168000.0;;
2018-01-08T09:00:00+0100;-1.76;8.87;4.35;202.9;155000.0;;
2018-01-08T10:00:00+0100;-1.58;56.21;3.74;237.54;159000.0;;
2018-01-08T11:00:00+0100;-1.05;95.64;3.28;256.01;159000.0;;
2018-01-08T12:00:00+0100;-0.68;112.02;2.51;232.86;155000.0;;
2018-01-08T13:00:00+0100;-1.22;95.25;1.41;239.12;152000.0;;
2018-01-08T14:00:00+0100;-1.64;51.41;1.75;277.33;152000.0;;
2018-01-08T15:00:00+0100;-2.46;5.71;2.93;258.67;136000.0;;
2018-01-08T16:00:00+0100;-2.48;0.0;3.84;284.72;147000.0;;
2018-01-08T17:00:00+0100;-3.04;0.0;3.74;287.12;147000.0;;
2018-01-08T18:00:00+0100;-3.8;0.0;3.27;285.15;134000.0;;
2018-01-08T19:00:00+0100;-4.49;0.0;3.58;270.84;143000.0;;
2018-01-08T20:00:00+0100;-5.19;0.0;3.82;269.98;141000.0;;
2018-01-08T21:00:00+0100;-5.56;0.0;3.9;261.49;136000.0;;
2018-01-08T22:00:00+0100;-4.92;0.0;3.72;263.83;80000.0;;
2018-01-08T23:00:00+0100;-4.79;0.0;3.35;264.82;81000.0;;
2018-01-09T00:00:00+0100;-7.2;0.0;2.38;255.08;73000.0;;
2018-01-09T01:00:00+0100;-6.6;0.0;2.96;231.37;72000.0;;
2018-01-09T02:00:00+0100;-6.53;0.0;2.73;242.04;69000.0;;
2018-01-09T03:00:00+0100;-6.46;0.0;2.66;261.02;65000.0;;
2018-01-09T04:00:00+0100;-6.11;0.0;2.23;276.0;70000.0;;
2018-01-09T05:00:00+0100;-7.89;0.0;2.24;274.88;127000.0;;
2018-01-09T06:00:00+0100;-6.61;0.0;2.08;262.76;113000.0;;
2018-01-09T07:00:00+0100;-6.04;-0.0;1.18;249.42;160000.0;;
2018-01-09T08:00:00+0100;-7.35;0.0;0.47;312.98;186000.0;;
2018-01-09T09:00:00+0100;-7.69;10.59;0.89;270.24;179000.0;;
2018-01-09T10:00:00+0100;-7.81;62.04;2.06;267.86;176000.0;;
2018-01-09T11:00:00+0100;-8.38;104.09;1.8;260.26;186000.0;;
2018-01-09T12:00:00+0100;-9.0;118.15;0.9;21.39;179000.0;;
2018-01-09T13:00:00+0100;-7.5;99.7;0.98;317.46;183000.0;;
2018-01-09T14:00:00+0100;-8.04;54.65;1.19;319.31;178000.0;;
2018-01-09T15:00:00+0100;-8.61;6.67;1.38;328.43;172000.0;;
2018-01-09T16:00:00+0100;-7.75;0.0;2.03;317.86;181000.0;;
2018-01-09T17:00:00+0100;-7.88;0.0;2.32;319.62;169000.0;;
2018-01-09T18:00:00+0100;-8.31;0.0;2.54;325.92;160000.0;;
2018-01-09T19:00:00+0100;-8.39;0.0;2.65;324.7;170000.0;;
2018-01-09T20:00:00+0100;-9.26;0.0;2.88;313.83;156000.0;;
