Header_line;17
location;Oslo Norway
year_of_construction;2009
floor_area;15127
number_of_users;1100
building_category;Sch
dhw_heat_source;DH
sh_heat_source;DH
pv;Roof:x:x
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8102

;Heat import;Electricity import;Heat use;Electricity use;Electricity production;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Imported District Heating;Electricity imported ;Heat Total = HtSpace + HtDHW;Electricity exported;Electricity production from PV;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;HtDH;ElImp;HtTot;ElExp;ElPV;Tout;SolGlob;WindSpd;WindDir;RH
2020-01-04T15:00:00+0100;140000.0;97200.0;140000.0;;;2.8944335937500227;1.7155555555555555;3.5252829;337.52954;0.4404043
2020-01-04T16:00:00+0100;160000.0;118800.0;160000.0;;;2.3852478027343977;0.0;1.749024;330.13766;0.46929085
2020-01-04T17:00:00+0100;180000.0;122400.0;180000.0;;;1.3290649414062727;0.0;1.241084;334.51068;0.49799287
2020-01-04T18:00:00+0100;140000.0;99000.0;140000.0;;;0.3286682128906477;0.0;1.2573951;349.51773;0.51074916
2020-01-04T19:00:00+0100;110000.0;97200.0;110000.0;;;-0.5325378417968523;0.0;1.8361079;355.42673;0.5186227
2020-01-04T20:00:00+0100;110000.0;96600.0;110000.0;;;0.0876403808593977;0.0;1.0097418;341.49097;0.5306924
2020-01-04T21:00:00+0100;130000.0;97800.0;130000.0;;;0.5028625488281477;1.4598384229853106e-14;1.5261813;164.28427;0.5839455
2020-01-04T22:00:00+0100;130000.0;97200.0;130000.0;;;-0.4620727539062272;1.460627914913933e-14;1.8695154;166.80632;0.620657
2020-01-04T23:00:00+0100;130000.0;97200.0;130000.0;;;-0.9177917480468524;1.459832640573724e-14;1.7386484;198.14703;0.6833996
2020-01-05T00:00:00+0100;130000.0;97200.0;130000.0;;;-1.1124023437499773;1.460627914913933e-14;1.0201912;158.96329;0.6869102
2020-01-05T01:00:00+0100;130000.0;98400.0;130000.0;;;-1.0434326171874773;1.4590489310566884e-14;1.1076658;93.60695;0.70868456
2020-01-05T02:00:00+0100;130000.0;98400.0;130000.0;;;-1.3647521972656025;1.460627914913933e-14;0.85566974;67.232216;0.7145752
2020-01-05T03:00:00+0100;130000.0;98400.0;130000.0;;;-1.6256774902343525;1.4598384229853106e-14;1.1522248;60.079235;0.72644687
2020-01-05T04:00:00+0100;140000.0;98400.0;140000.0;;;-1.4980834960937273;1.460627914913933e-14;1.3687621;75.87986;0.70805997
