Header_line;15
location;Oslo Norway
year_of_construction;2020
number_of_users;576
building_category;Sch
dhw_heat_source;GSHP, HWH
sh_heat_source;GSHP, EB
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8127

;Electricity use;Heat production;Electricity use;Electricity use;Electricity import;Heat use;Electricity use;Electricity use;Electricity production;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Electricity for charging of electric vehicles;Heat from heat pumps;Electricity for hot water heater;Electricity for heat pump;Electricity imported ;Heat Total = HtSpace + HtDHW;Electricity exported;Electricity for electric boiler;Electricity production from PV;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;ElEV;HtHP;ElHWH;ElHP;ElImp;HtTot;ElExp;ElBoil;ElPV;Tout;SolGlob;WindSpd;WindDir;RH
2021-01-03T05:00:00+0100;0.0;10000.0;5400.0;100.0;157600.0;112100.0;0.0;102100.0;0.0;0.2034240722656477;2.2422241532618323e-14;2.8147912;21.259588;0.8340202
2021-01-03T06:00:00+0100;0.0;0.0;4300.000000000001;200.0;279200.0;213300.0;0.0;213300.0;0.0;-0.2401794433593522;-1.1211123850262009e-13;2.5925086;16.290218;0.82857263
2021-01-03T07:00:00+0100;0.0;0.0;5500.0;200.0;284400.0;216300.0;0.0;216300.0;0.0;-0.7955078124999773;0.0;2.7044327;8.64052;0.81569415
2021-01-03T08:00:00+0100;0.0;0.0;7300.000000000001;100.0;256000.0;183300.0;0.0;183300.0;0.0;-1.2014526367187273;0.0;2.920467;8.813139;0.8029374
2021-01-03T09:00:00+0100;0.0;10000.0;2900.0000000000005;200.0;259600.00000000003;203500.0;0.0;193500.0;100.0;-1.2291625976562273;6.8;2.5454588;3.691373;0.78915864
2021-01-03T10:00:00+0100;0.0;0.0;9800.0;100.0;263600.0;193600.0;0.0;193600.0;0.0;-1.6825317382812273;50.897777777777776;2.8810089;359.5624;0.7166176
2021-01-03T11:00:00+0100;0.0;0.0;3500.0;200.0;242400.0;178000.0;0.0;178000.0;0.0;-1.7188171386718525;89.2;2.4337034;3.3891466;0.64786154
2021-01-03T12:00:00+0100;0.0;0.0;7200.0;200.0;258400.0;192300.0;0.0;192300.0;100.0;-1.2088989257812273;100.72888888888887;1.3211887;21.744473;0.588276
2021-01-03T13:00:00+0100;0.0;0.0;3700.0;100.0;259200.0;196800.0;0.0;196800.0;0.0;-0.5737060546874773;81.72444444444444;0.5896767;358.59888;0.5572398
2021-01-03T14:00:00+0100;0.0;0.0;6800.0;200.0;249600.0;178700.0;0.0;178700.0;0.0;-0.5038208007812273;38.257777777777775;1.2478412;17.681414;0.53526676
2021-01-03T15:00:00+0100;0.0;10000.0;6100.0;200.0;266400.0;208300.0;0.0;198300.0;0.0;-1.0122741699218525;1.6711111111111112;1.7355094;12.319106;0.5545997
2021-01-03T16:00:00+0100;0.0;0.0;6400.0;200.0;260400.0;199050.0;0.0;199050.0;50.0;-1.6213439941406025;0.0;2.0173302;19.224897;0.60034543
2021-01-03T17:00:00+0100;0.0;0.0;6400.0;200.0;278000.0;199050.0;0.0;199050.0;50.0;-2.2526611328124773;0.0;1.6660856;12.188796;0.6025429
2021-01-03T18:00:00+0100;0.0;0.0;4700.0;100.0;285200.0;213100.0;0.0;213100.0;0.0;-2.650305175781228;0.0;2.400592;16.57833;0.5984231
2021-01-03T19:00:00+0100;0.0;0.0;6800.0;200.0;285600.0;215800.0;0.0;215800.0;0.0;-2.6380065917968523;0.0;3.3650231;15.276083;0.6069375
2021-01-03T20:00:00+0100;0.0;0.0;5200.0;100.0;276800.0;206000.0;0.0;206000.0;0.0;-3.159948730468728;0.0;3.139532;12.014554;0.6182441
2021-01-03T21:00:00+0100;0.0;2500.0;4750.0;175.0;236800.0;114825.0;0.0;112325.0;25.0;-3.396887207031228;2.1853815053892352e-14;2.664243;11.462853;0.63396066
2021-01-03T22:00:00+0100;0.0;2500.0;4750.0;175.0;133200.0;114825.0;0.0;112325.0;25.0;-3.7960571289062273;2.1845920134606128e-14;3.019059;16.872963;0.5794105
2021-01-03T23:00:00+0100;0.0;2500.0;4750.0;175.0;142400.0;114825.0;0.0;112325.0;25.0;-3.733709716796852;2.183012258615157e-14;2.6436467;18.833975;0.5854833
2021-01-04T00:00:00+0100;0.0;2500.0;4750.0;175.0;134000.0;114825.0;0.0;112325.0;25.0;-3.4543212890624773;2.1838032925202022e-14;2.694268;13.73718;0.57706046
2021-01-04T01:00:00+0100;0.0;10000.0;4700.0;200.0;140000.0;105800.0;0.0;95800.0;0.0;-4.051428222656227;2.182223537674745e-14;2.8943436;15.254368;0.57056016
2021-01-04T02:00:00+0100;0.0;0.0;3700.0;200.0;146400.0;101700.0;0.0;101700.0;0.0;-3.9177612304687273;2.182223537674745e-14;2.9016871;16.336996;0.5797
2021-01-04T03:00:00+0100;0.0;0.0;4000.0;200.0;140400.0;95900.0;0.0;95900.0;0.0;-3.6915649414062273;2.180644553817501e-14;2.4811301;19.59512;0.59883463
2021-01-04T04:00:00+0100;0.0;10000.0;5000.0;200.0;153200.0;116300.0;0.0;106300.0;0.0;-3.3771728515624773;2.17985506188888e-14;3.2486541;16.871891;0.561664
2021-01-04T05:00:00+0100;0.0;0.0;3200.0;200.0;173200.0;124000.0;0.0;124000.0;100.0;-3.024084472656228;2.1790647989720453e-14;4.23432;11.496394;0.59227324
2021-01-04T06:00:00+0100;0.0;0.0;8300.0;100.0;314800.0;239500.0;0.0;239500.0;0.0;-3.3607849121093523;-1.0903221998099297e-13;3.5680375;17.505816;0.6203341
2021-01-04T07:00:00+0100;0.0;0.0;3300.0;200.0;310800.0;228200.0;0.0;228200.0;0.0;-3.2361816406249773;0.0;3.1393986;20.591572;0.63821733
2021-01-04T08:00:00+0100;0.0;0.0;8000.0;100.0;334000.0;237400.0;0.0;237400.0;0.0;-3.3473571777343523;0.0;3.7638104;19.91217;0.64862406
2021-01-04T09:00:00+0100;0.0;10000.0;6900.0;200.0;347200.0;241100.0;0.0;231100.0;0.0;-3.807104492187477;7.48;3.9028533;22.511356;0.661503
2021-01-04T10:00:00+0100;0.0;0.0;7500.0;0.0;308400.0;190300.0;0.0;190300.0;100.0;-4.042944335937477;53.71111111111111;3.8190813;16.005482;0.6261476
2021-01-04T11:00:00+0100;0.0;0.0;5650.0;50.0;336000.0;112150.0;0.0;112150.0;0.0;-3.7961791992187273;93.29777777777778;4.043836;15.302529;0.6199069
2021-01-04T12:00:00+0100;0.0;0.0;5650.0;50.0;340800.0;112150.0;0.0;112150.0;0.0;-3.1297363281249773;104.51555555555557;4.3826895;20.001392;0.6098361
